cohort,sample,n,volume_um3_mean,volume_um3_median,volume_um3_sd,volume_um3_cv_pct,equivalent_diameter_um_mean,equivalent_diameter_um_median,equivalent_diameter_um_sd,equivalent_diameter_um_cv_pct,surface_area_um2_mean,surface_area_um2_median,surface_area_um2_sd,surface_area_um2_cv_pct,sphericity_mean,sphericity_median,sphericity_sd,sphericity_cv_pct,elongation_mean,elongation_median,elongation_sd,elongation_cv_pct,flatness_mean,flatness_median,flatness_sd,flatness_cv_pct,aspect_ratio_mean,aspect_ratio_median,aspect_ratio_sd,aspect_ratio_cv_pct,mesh_solidity_mean,mesh_solidity_median,mesh_solidity_sd,mesh_solidity_cv_pct,reference_cells,foreground_dice,f1
matched_predictions,X074,4,2218.598054806679,2233.130768564239,245.91191938831446,11.08411317929071,16.165054351371065,16.209490070584238,0.6014218332532387,3.7205061002608266,988.097292188118,1003.689242957139,71.97315456262793,7.284014958005308,0.8320000397460436,0.8310397528607234,0.027726812404404104,3.332549408635524,1.1224807759622102,1.1144750986547316,0.07278052845189403,6.483899770087848,1.4087837191860015,1.4184389203585146,0.09195594977880601,6.527329108540406,1.5769815867327632,1.5790850798663394,0.05279997944660827,3.348167149877813,0.9066553872950603,0.9122915147430364,0.03857130332293654,4.254240791312252,4,0.8031720922861163,0.7272727272727273
matched_predictions,X076,4,2299.0207925559457,2265.782190383172,314.41815307329966,13.67617700941904,16.349636556760725,16.28384819452583,0.7434388361826062,4.547127598840644,1023.0095238289673,1052.442630114941,67.99438511301655,6.646505582716769,0.8224813117952877,0.8283310547479166,0.05560755898864617,6.760951062494983,1.1321713383503376,1.1312365161068092,0.030502322416324574,2.6941436674036328,1.3627451702381026,1.4142665513872585,0.13133806523734332,9.63775679457338,1.5442421485296671,1.591149146396254,0.17087239531084283,11.065129615425732,0.898105417542455,0.9141134335340269,0.06084843814100927,6.775199987938261,4,0.8119909275729517,0.8
matched_predictions,X078,4,2378.3215964148376,2387.810850347443,359.69363049055454,15.123843261263275,16.529267533094497,16.564200318719184,0.8394947088599293,5.078837929019621,1036.1217766630855,1054.0163400326142,54.98522769110402,5.306830618712447,0.8298595787385736,0.840724940367589,0.068558257533062,8.261428715117543,1.1629634692500979,1.1484400524665497,0.10646942716457707,9.155010452153814,1.2016191769584537,1.1761891719242366,0.14918148516690055,12.415038643483513,1.405076938245601,1.3917697123720423,0.27204245330300025,19.361391956420288,0.890761773403447,0.9145291618396719,0.08425850429112906,9.459151347412659,4,0.8129248399795781,0.7272727272727273
matched_predictions,X080,6,1568.3517348664589,1412.8188435217241,339.48854123621857,21.646199235092194,14.355585634322047,13.919507559179447,1.007417653402666,7.017600528912466,792.788666994184,690.9845876220577,180.80953664618815,22.80677615280726,0.8319672898124745,0.8620229161365275,0.06502957107083275,7.816361516507508,1.2156590536768148,1.2151682300662148,0.07834307672489135,6.444494160425922,1.129429539990597,1.0915038032881639,0.08190856962611091,7.252207129874861,1.3735632506399247,1.3681373078958265,0.13704014683952837,9.976981167462306,0.8900477705720419,0.9255345778016364,0.06613212966553106,7.430177553619098,6,0.809316381679282,0.8
matched_predictions,X082,6,1591.9228319277825,1369.1787607951992,405.5711699303394,25.47681092300196,14.405878502499922,13.776954828721703,1.1759282714763382,8.16283624266492,822.176801898709,699.8173947806965,201.78688477147435,24.543003926342138,0.8087481603571341,0.83224431602367,0.057097610303527675,7.059998786063885,1.2196493438764922,1.1965071042773954,0.13704130203258288,11.23612313003141,1.1562394270192466,1.141782015771838,0.09072296301162656,7.846382063402549,1.4069912043242685,1.4051446641169871,0.16046463295220448,11.40480711315252,0.8624432488227134,0.9017737069571488,0.07289121105498725,8.451711014549435,6,0.80106253140929,0.8571428571428571
matched_predictions,X084,6,1597.459103835424,1336.9257827878014,456.8536260261848,28.59876818938906,14.401778556097893,13.667500336545576,1.3184613378169865,9.154850789305696,824.5745982356775,717.6331177444683,203.57949625401864,24.689033192340972,0.8053067772400174,0.8071018069845615,0.055414767797789616,6.881199732070992,1.265218072612665,1.2486829412038583,0.16690803384648112,13.192036808470291,1.2320739062687365,1.204614337848653,0.0904019777202439,7.337382705719414,1.5544276572273674,1.5194784886008657,0.19606857704840427,12.613554328937493,0.859424858868228,0.86761721043697,0.07414483472555779,8.627262053275807,6,0.811839311544654,0.8571428571428571
matched_predictions,X086,6,1604.2116779045934,1317.1713580264432,506.04206181854516,31.54459407000033,14.400494944172443,13.600230366335378,1.4517203188206427,10.081044606096134,804.1177399590835,723.5357932798651,161.31586964435087,20.06122507041807,0.8164477744566806,0.816169932180705,0.013165781746177451,1.6125687592129025,1.2403382531943052,1.2346654592957993,0.046265197013467395,3.7300467750888373,1.2145204148438278,1.2013603949774643,0.12281084472781355,10.111879819130541,1.502443189836136,1.4886529271129492,0.10845194129043252,7.218372183660458,0.894590654222371,0.8956770036383582,0.013358073173995469,1.4932050889361306,6,0.8153536049520946,0.8571428571428571
matched_predictions,X088,6,1635.1085489043114,1336.1708366185771,533.492848141306,32.627365840561495,14.483743922816856,13.665275954835412,1.5103736483605383,10.428060979324432,815.0407877198037,729.4709313631463,158.74875147882597,19.477399643145333,0.8136541944252348,0.8073341800458466,0.014669718715494582,1.802942677123083,1.2752251264527572,1.2850837945459705,0.03603850034250748,2.826050051472428,1.1783214954721621,1.1589593745548636,0.10290313527841358,8.733027079097758,1.5012718110215282,1.4558714426571728,0.11853126957219708,7.8953903418424565,0.8926433030951944,0.9015979799029621,0.024190073435659556,2.7099372562121657,6,0.8169193150005972,0.75
matched_predictions,X090,6,1642.9865519850089,1330.9071841609334,554.6983221789135,33.76158627158226,14.498002947964928,13.647361675606092,1.562087912474658,10.7745040339775,820.4239943309677,723.246434910807,169.20139438778904,20.62365259389664,0.8108842598175392,0.8075005514707381,0.021033429658485217,2.5938880183983404,1.2384100789999148,1.2376862388483238,0.10255998421301057,8.281585070418151,1.181935526662879,1.185433917209218,0.09488489553880994,8.027924823167936,1.456707448293695,1.4760990019812634,0.06431538319024446,4.415120089183307,0.8869021443861794,0.8792086381432611,0.027781045393957197,3.13236872520861,6,0.826153313093981,0.7058823529411765
matched_predictions,X092,6,1672.4713940385857,1341.7909914339107,578.5051091523816,34.589835809116074,14.577380916789258,13.68449303432827,1.6079488530770243,11.030437238729872,821.8163970805263,721.2470853963046,167.12499616112535,20.336050333727947,0.8176756938698797,0.8157219539383842,0.019811519285026346,2.4229067139397005,1.2215284049564366,1.209080981945601,0.11540321922485755,9.447444591267871,1.169075772933992,1.1578412172944668,0.11062407593678444,9.462524029486534,1.4198872855480407,1.435111294173053,0.08676282863369655,6.110543387266707,0.8962834556001242,0.9005250955283319,0.01927105796454998,2.150107518346042,6,0.8202602779843369,0.8
matched_predictions,X094,6,1700.4183827844845,1350.1163700222962,622.5614348962628,36.61225032611094,14.640422248545647,13.71166709508134,1.7081959077251496,11.667668313971195,834.2333738466538,736.6604707516774,163.96241944186144,19.654262773716425,0.8112583727979971,0.8087448298379082,0.03840584443632025,4.734107618989504,1.2589556852783244,1.24497944142374,0.14060481519101725,11.168368897745035,1.1600241460999412,1.1564395949847084,0.09343827572519003,8.054856102722875,1.4564729134613377,1.4460790801695447,0.16474824482660652,11.311452709070911,0.8851282736654992,0.8967465227403693,0.05135921278218368,5.802459859235381,6,0.8197706938829611,0.75
matched_predictions,X096,6,1764.3161877185169,1354.394398314565,702.6055869752005,39.82311061169585,14.791137596524301,13.726604778130598,1.87523778750378,12.678117387971788,839.8087650726578,750.2842625972017,159.46550463295426,18.988311537705584,0.8209804776462462,0.7952998913695919,0.055104588241925614,6.712046113436297,1.220602400092318,1.214778481529695,0.1470944141833458,12.050968781662283,1.1536424384705286,1.1261348005196863,0.11730662821913009,10.168369705144723,1.4146495568821982,1.4543269505138627,0.26444748309960503,18.693497750950506,0.8869509034092081,0.8685687789921283,0.0588360670527348,6.633520167416741,6,0.8231254428302184,0.75
matched_predictions,X098,7,1513.3255460268513,1356.5963246414678,471.95195231445575,31.186412834537705,14.140112663306722,13.734641814195928,1.2830014304814614,9.073488033874169,774.2277569104873,730.1561531962718,143.24500452159072,18.501662236084368,0.8171943259451114,0.795976190581106,0.045434157401682496,5.559773967977132,1.2174607839393752,1.0959954000961214,0.2011549111678409,16.52249615112511,1.235185632213619,1.2114578766721678,0.11106441112104279,8.991718185873033,1.499237549602521,1.533362368158189,0.24411210007978065,16.282416361870062,0.8714157789574902,0.8546637815441405,0.05888929082191751,6.757886676365803,7,0.8249585136147604,0.7368421052631579
matched_predictions,X100,8,1286.139924862303,1292.6356075266667,92.81560870124281,7.216602712273306,13.485713744637783,13.515189976265702,0.32686820477978984,2.4238109377767256,731.921171264959,754.162256656775,84.30627646023906,11.518491303446636,0.7871870932447274,0.783919664329055,0.06463231241187876,8.21054015830838,1.1788559126902416,1.1020116143305239,0.14484916248907878,12.287266062781297,1.3570969726681787,1.3399517812028288,0.17058720086910809,12.570008209046241,1.5981929018245276,1.6447609394127007,0.2583631795434256,16.165957141248295,0.8335936284750336,0.8413356376210018,0.08501267325385622,10.198335297904977,8,0.8073161487455407,0.7272727272727273
matched_predictions,X102,8,1294.8847179891463,1307.2312334649955,100.90472509834541,7.792564364729122,13.515142092891082,13.565982819504462,0.35155665445494855,2.6012057589824833,734.3821407267179,754.724290511436,73.58851274249331,10.020466002845982,0.7858868456379192,0.7919190936377608,0.05099063252631799,6.4882918971532,1.2463366108250984,1.1928312518200954,0.20441724993382104,16.401447904069265,1.3738986614284463,1.3999201521098663,0.06857218537952052,4.991065739028076,1.7117920364109163,1.6527010625591099,0.2880259084932082,16.825987174067414,0.8508333146712554,0.8717813132237064,0.07770878210833888,9.133255688085505,8,0.8126836002781901,0.7619047619047619
matched_predictions,X104,8,1312.9824553235967,1309.139569614978,107.3341248886828,8.174833140647664,13.577008626927375,13.571583928040432,0.37047538775455535,2.728696710259055,728.8934350990133,745.7250941836331,58.911669511103725,8.082343271907934,0.7971118770107914,0.8028916897704363,0.038320343847863064,4.807398428382002,1.339634054065138,1.3171104456779843,0.1726134607496914,12.885120397312496,1.257752652083159,1.2746961016952896,0.07551067015545672,6.003618440429587,1.6810111575699467,1.733725645767,0.20572165050885763,12.237970556141152,0.8591126797855163,0.8773539252225006,0.06069699413001947,7.065079535919889,8,0.8123322951143795,0.8
matched_predictions,X106,8,1336.7947157445333,1299.3042986881446,120.91644650374823,9.045251681474767,13.656786327583673,13.53701874156486,0.40812135822617013,2.988414319713385,734.1059307708726,735.7343156910817,47.59548670806341,6.483463041646342,0.7995741227494549,0.7991486036925401,0.031640858145099864,3.9572138773448606,1.320984221092901,1.2504085501210047,0.2339677936350021,17.71162667192433,1.2086550179816502,1.1698515609307965,0.11147926809679241,9.223414989245914,1.5905580172573484,1.5587941079010688,0.2739403669636254,17.222909443818327,0.8658151097480402,0.8677641674055755,0.05099660029836203,5.890010433428736,8,0.8097488739122263,0.7619047619047619
matched_predictions,X108,8,1365.4302433577334,1328.6004041994156,122.30253678329092,8.9570695667716,13.753855749360941,13.63784960744297,0.4062216146043572,2.9535107973139234,735.9408055776823,744.4873855639682,44.729438719862564,6.077858216429765,0.8086267248273631,0.8101299855634749,0.026797538465960412,3.313956568982001,1.3207411368324962,1.2855156836918267,0.26118990822160676,19.776010675946132,1.2321347198489092,1.2323727016091857,0.09051837977211687,7.346467745281677,1.6121360521781676,1.5899245237138586,0.22117028833638597,13.719083326594014,0.872436609459903,0.8781210875989651,0.04790917514429892,5.491421912470859,8,0.8159430386939615,0.7619047619047619
matched_predictions,X110,8,1379.328592625876,1340.9731330839181,123.81624586644409,8.976559068548763,13.800316110315086,13.680882172467237,0.40852862389485944,2.9602845371745037,742.6832490463603,752.4927608742375,41.78141623351093,5.625738332884202,0.8064993965847359,0.8091879154179134,0.02665452625226864,3.304965430246066,1.2708234861839767,1.2510566713926674,0.13695215095935578,10.776646202109085,1.2401121757786886,1.2176463241454059,0.10682931815907588,8.61448828949654,1.570966349682724,1.6161387752392602,0.1641388313619729,10.448271625622203,0.865274715983789,0.8723628706332014,0.054321352320776756,6.277931310984299,8,0.8150488008329325,0.7619047619047619
