cohort,feature,n,mean,sd,median,q25,q75,min,max
all_shape_qc,mesh_solidity,985,0.8773388392779146,0.0649989904236462,0.893233624555664,0.8488119642740024,0.9236589947839592,0.2688798175051025,0.9604198524443518
matched_shape_qc,volume_um3,729,1771.837084346511,439.4819600361506,1643.979166392692,1417.0339596332242,2077.0666188041246,1094.0428235669406,3342.2305740618117
matched_shape_qc,equivalent_diameter_um,729,14.91736071490769,1.1915496841502202,14.643084293573123,13.935649413292095,15.83011006950799,12.7843474847131,18.550086046420827
matched_shape_qc,surface_area_um2,729,859.5854122978999,132.18803328079355,834.8057481317445,753.8161664885113,962.9873608975986,625.5440082943148,1259.228217521109
matched_shape_qc,sphericity,729,0.8186040398895301,0.040091450271141436,0.8216830896175354,0.795976190581106,0.8489781190946839,0.6692134190232429,0.9049951400222211
matched_shape_qc,elongation,729,1.2424855686961294,0.14332820092617865,1.220213845961435,1.1405258937273506,1.31504303683058,1.0082540381095697,2.3967191863076107
matched_shape_qc,flatness,729,1.2091275123492182,0.12829893792424824,1.1831604188827254,1.1130887197568595,1.2884167573475338,1.0042546279811837,1.8242354796932367
matched_shape_qc,aspect_ratio,729,1.4985460149174372,0.2098060307061897,1.4632671439332636,1.3681991895415972,1.6020714837830743,1.0548915025147174,3.130347386031016
matched_shape_qc,mesh_solidity,729,0.8787379805208809,0.05672034771058968,0.8891560045577557,0.8499466734596188,0.9231165518407184,0.6370838063940237,0.9604198524443518
unmatched_shape_qc,volume_um3,256,1073.303757643031,698.343971660686,1066.5292298441148,550.2823598199789,1377.4726832932004,0.3774730846119403,3073.5955621796475
unmatched_shape_qc,equivalent_diameter_um,256,11.779333631210609,3.5923541150659744,12.676265582806144,10.16280542999443,13.804735533564282,0.8966627382786474,18.039148457758465
unmatched_shape_qc,surface_area_um2,256,593.5721884826098,298.3042420889006,636.8004258003756,405.4286736491125,723.6781170116222,2.69393871669073,1376.0590886280122
unmatched_shape_qc,sphericity,256,0.8001976387849172,0.08013261035171079,0.815477197908151,0.776487761636772,0.8454389133012761,0.3878133003737478,0.9376060606855888
unmatched_shape_qc,elongation,256,1.2419473789741986,0.18036210801474944,1.2069249332846,1.125117581259992,1.3042883295344,1.0254863722454406,2.84692353401395
unmatched_shape_qc,flatness,256,1.2683944038054205,0.2163945519703522,1.2401448706259988,1.1333334995805466,1.3097858884702074,1.0133210489915725,2.5163038990044733
unmatched_shape_qc,aspect_ratio,256,1.578474920667999,0.3744187140278013,1.5482013498449367,1.294614999238612,1.703810064455959,1.0845726294624904,4.122704476979531
unmatched_shape_qc,mesh_solidity,256,0.8733545659727484,0.08424194573887377,0.9021551967865927,0.8385560235598645,0.9255916127530034,0.2688798175051025,0.9587768125393016
